company,product_line,forecast_month,forecast_quantity,lower_bound,upper_bound,model_used,training_months,notes
Matapel Chemicals Sample,Additives,2026-01-01,2173.450109537126,1380.7521070584874,2966.148112015765,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Chemicals Sample,Additives,2026-02-01,2162.1719415387165,1369.7505398089095,2954.5933432685233,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Chemicals Sample,Additives,2026-03-01,2162.4212448571393,1369.9885970206078,2954.853892693671,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Chemicals Sample,Industrial Resins,2026-01-01,1999.0828504659144,1351.5970210992268,2646.568679832602,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Chemicals Sample,Industrial Resins,2026-02-01,2008.3129782577262,1360.119584407173,2656.5063721082793,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Chemicals Sample,Industrial Resins,2026-03-01,2008.5628962567007,1360.3562437243681,2656.7695487890333,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Chemicals Sample,Inorganic Pigments,2026-01-01,3827.2883287090463,2774.4583298310426,4880.11832758705,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Chemicals Sample,Inorganic Pigments,2026-02-01,3790.9507034786648,2710.692916608509,4871.20849034882,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Chemicals Sample,Inorganic Pigments,2026-03-01,3786.611370095724,2696.662865778594,4876.559874412854,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Chemicals Sample,Organic Pigments,2026-01-01,3254.9250570045306,2247.4085654002934,4262.441548608767,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Chemicals Sample,Organic Pigments,2026-02-01,3476.474465637765,2453.566747510805,4499.382183764726,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Chemicals Sample,Organic Pigments,2026-03-01,3431.160239622272,2406.493574838555,4455.826904405989,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Chemicals Sample,Solvents,2026-01-01,2505.0725437074234,1728.7137242306612,3281.4313631841856,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
Matapel Chemicals Sample,Solvents,2026-02-01,2500.3467549178713,1722.4207500057332,3278.2727598300094,"ARIMA(1,1,1)",36,ARIMA used because product line has sufficient monthly history. Missing historical months were filled with zero through the overall max sales month.
